locality,zone,infrastructure,area_sqft,distance_highway_km,distance_city_center_km,distance_water_km,distance_metro_km,ownership_changes,years_held,legal_disputes,flood_zone,near_metro,near_tech_park,price_sqft,total_price,asking_price
Sadashivanagar,residential,excellent,3331.2,7.9,3.44,5.64,0.74,3,19,0,0,1,0,17286.15,57583476.21,75207416.97
Vijayanagar,residential,good,1344.9,7.56,10.69,1.97,2.91,2,16,0,0,0,0,7166.94,9638594.27,12394004.98
Rajajinagar,residential,excellent,4106.7,5.64,6.47,0.54,1.03,5,19,0,0,1,0,8896.28,36534064.26,31553843.48
KR Puram,residential,good,15504.0,2.01,12.74,5.42,2.35,1,4,0,0,0,0,5108.72,79205460.06,73106391.12
Kogilu,residential,good,3968.1,6.81,15.34,0.26,4.0,3,17,0,0,0,0,3788.7,15033869.86,12308500.53
Hoodi,residential,good,3457.2,2.98,17.45,6.17,3.28,1,17,1,0,0,0,4356.03,15059793.13,14986258.96
Doddaballapur,agricultural,poor,3449.6,1.9,36.3,2.39,1.68,3,21,0,0,0,0,845.8,2917668.29,2480554.17
Whitefield,commercial,excellent,2033.1,4.56,17.43,3.8,1.06,2,1,0,0,1,1,8634.77,17555285.13,19805338.22
Bannerghatta Road,residential,good,2430.5,5.41,11.83,7.7,4.57,5,9,0,0,0,0,4811.57,11694730.83,10681323.19
Lavelle Road,residential,excellent,2118.7,7.01,2.49,1.78,1.74,3,3,0,0,0,0,18991.86,40238141.26,45323650.99
Frazer Town,residential,excellent,2654.5,5.77,4.64,3.44,0.5,0,15,1,0,1,0,11283.0,29950886.1,39088064.95
Doddaballapur,agricultural,poor,4239.6,3.76,35.93,0.38,4.81,0,14,0,0,0,0,982.04,4163441.99,4550795.44
BTM Layout,residential,excellent,1343.7,8.02,9.4,4.26,2.36,4,12,0,0,0,0,7125.66,9574478.09,11042667.39
Richmond Town,residential,excellent,1844.6,8.12,4.42,6.2,0.81,0,7,0,0,1,0,19015.87,35076660.02,43317952.27
Chandapura,residential,average,1660.9,7.46,26.4,4.22,1.5,0,8,0,0,0,0,2892.89,4804810.56,5761759.75
Sarjapur Road,residential,good,2807.8,9.34,17.82,2.66,3.93,0,22,0,0,0,1,6950.79,19516450.46,17459072.02
Koramangala,commercial,excellent,7946.5,8.78,9.59,1.6,3.12,1,3,0,0,0,1,19389.47,154078836.57,128862063.3
Anekal,agricultural,poor,3929.9,6.11,37.11,5.49,0.87,2,1,0,0,1,0,1043.06,4099138.24,4891872.24
RR Nagar,residential,good,2002.0,6.61,12.27,4.01,3.42,4,4,1,0,0,0,4453.77,8916671.56,7254055.09
Peenya,industrial,average,12010.7,5.02,12.34,4.85,4.69,3,4,1,0,0,1,3034.56,36447315.51,44760592.93
KR Puram,residential,good,2809.6,1.73,13.76,6.97,3.13,1,6,0,0,0,0,5135.73,14429572.89,12967911.09
Bellary Road,commercial,excellent,2011.6,4.2,8.35,1.02,0.61,3,6,0,0,1,1,11008.26,22144278.09,18807556.87
Shivajinagar,commercial,excellent,648.0,3.35,2.8,0.36,0.56,2,7,0,0,1,1,16372.93,10610374.94,11169708.73
Tumkur Road,industrial,average,1114.1,1.38,12.92,1.62,1.41,1,22,1,0,1,1,3123.9,3480365.61,2822587.44
Sadashivanagar,residential,excellent,3942.8,7.58,5.39,0.97,4.26,3,21,0,0,0,0,16739.39,66000043.36,54828303.48
RR Nagar,residential,good,2432.6,8.77,13.23,3.81,2.11,0,13,0,0,0,0,5252.83,12778147.95,12401283.13
JP Nagar,residential,excellent,3765.8,8.93,9.51,5.55,1.7,1,9,0,0,0,0,10321.89,38869908.17,44372037.13
Devanahalli,agricultural,average,1225.3,2.08,34.56,2.45,3.75,3,20,0,0,0,0,1319.81,1617188.34,1917062.57
Basavanagudi,residential,excellent,4239.2,8.92,4.64,7.68,4.06,3,3,0,0,0,0,9968.43,42257995.84,34103450.04
Jayanagar,residential,excellent,4173.7,11.39,7.02,4.66,2.49,3,15,0,0,0,0,11301.04,47167530.44,38764170.44
Basaveshwara Nagar,residential,good,2667.7,6.44,12.21,3.47,3.94,4,3,0,0,0,0,5218.99,13922867.42,13068894.25
HBR Layout,residential,good,13294.9,8.2,10.58,3.62,2.1,4,4,0,0,0,0,5277.17,70159361.92,94152385.23
Indiranagar,residential,excellent,1129.4,8.66,7.26,6.83,3.29,2,18,1,0,0,0,11293.21,12754916.4,11826555.1
Hoskote,agricultural,poor,1497.3,4.53,30.81,7.36,3.97,3,12,0,0,0,0,978.19,1464669.97,1976517.69
Koramangala,commercial,excellent,728.7,9.91,7.21,7.2,0.44,2,16,0,0,1,1,22125.62,16123373.82,12442369.3
Indiranagar,residential,excellent,5858.5,5.61,7.24,6.45,1.42,3,1,0,0,1,0,13686.24,80180537.09,100449225.22
Hoodi,residential,good,1261.2,6.62,14.85,5.11,4.3,0,1,0,0,0,0,6306.42,7953402.29,8883363.11
JP Nagar,residential,excellent,682.5,9.57,8.44,7.1,3.64,0,2,0,0,0,0,10681.85,7290884.01,8252150.65
Carmelaram,residential,average,3772.3,9.58,20.54,2.55,3.02,5,14,0,0,0,0,2960.53,11168053.6,11553365.27
Richmond Town,residential,excellent,3721.2,6.19,4.1,2.58,2.31,1,3,0,0,0,0,15681.74,58354930.24,54866737.84
Attibele,industrial,poor,3957.0,7.32,29.56,1.96,2.99,2,1,0,0,0,1,1414.2,5595987.01,6040793.16
Yelahanka,residential,good,18815.9,7.12,18.01,4.2,3.76,1,11,0,0,0,0,4658.35,87650944.74,109776621.65
ITPL,commercial,excellent,900.7,5.8,17.92,6.77,0.56,0,12,0,0,1,1,10003.26,9010102.27,11229326.99
Yeshwanthpur,commercial,good,4854.5,4.07,10.05,4.89,0.86,6,21,0,0,1,1,6956.1,33768412.62,39618581.39
Nagarbhavi,residential,good,749.3,7.9,12.15,1.83,2.77,3,10,0,0,0,0,5278.05,3954930.6,5316190.02
HSR Layout,residential,excellent,3142.6,7.47,13.11,0.82,3.85,0,4,0,0,0,1,10014.49,31471995.25,28000992.04
Yelahanka,residential,good,1359.2,5.38,17.19,4.05,0.7,2,8,0,0,1,0,5760.08,7829274.48,6144924.21
Peenya,industrial,average,17780.2,2.8,13.06,6.79,2.57,1,9,0,0,0,1,3811.66,67772149.77,64678654.57
Basavanagudi,residential,excellent,2121.3,7.93,6.23,3.31,4.61,1,12,0,1,0,0,10725.31,22751305.09,23181859.82
Kadugodi,residential,average,4936.3,6.92,19.83,2.37,3.6,2,8,0,0,0,0,3455.58,17057850.96,20169502.65
Nagawara,residential,good,3435.9,4.71,8.56,1.09,3.74,2,24,0,0,0,0,6372.09,21893628.17,26058936.88
Hoskote,agricultural,poor,4949.4,2.02,31.36,0.52,3.95,1,18,0,0,0,0,1290.01,6384772.7,5113510.59
Thanisandra,residential,good,1670.4,5.65,11.05,6.62,0.47,0,14,0,0,1,0,7582.22,12665682.11,16076220.09
Tumkur Road,industrial,average,5067.5,1.29,15.07,2.03,3.22,1,18,0,1,0,1,2740.28,13886373.36,17877052.23
Bannerghatta Road,residential,good,1131.3,4.1,12.44,2.91,4.31,1,17,0,0,0,0,5392.13,6100053.15,4885452.99
Rajajinagar,residential,excellent,1978.9,5.84,4.76,7.99,1.69,1,9,0,0,0,0,10045.02,19877830.63,19588040.8
Doddanekundi,commercial,good,615.9,4.79,18.77,3.05,0.62,1,22,0,0,1,1,7189.56,4428065.41,5869513.9
Chandapura,residential,average,4681.7,6.59,23.65,7.2,1.4,1,19,0,0,1,0,3101.93,14522386.28,13500445.6
Bellandur,residential,good,4271.9,7.42,17.25,7.02,1.63,3,6,0,0,0,0,6277.94,26818776.46,30969209.7
Jakkur,residential,good,1187.6,3.48,13.25,1.64,2.94,5,20,0,0,0,0,4153.33,4932617.59,6539983.6
Tumkur Road,industrial,average,2594.0,0.3,12.83,0.71,2.44,0,3,1,0,0,1,2586.78,6710090.89,7843518.08
Hoodi,residential,good,1376.5,4.73,16.84,3.45,0.31,0,5,0,0,1,0,5934.32,8168519.63,8240371.66
Banashankari,residential,excellent,3891.4,9.88,9.47,2.72,1.44,0,19,0,0,1,0,8671.04,33742522.99,34635409.65
Bellandur,residential,good,769.5,7.66,16.09,1.28,4.62,0,18,1,0,0,0,5279.37,4062424.35,4434246.8
Thanisandra,residential,good,1295.6,5.12,9.21,6.86,3.21,3,15,0,0,0,0,5664.74,7339481.73,8161904.95
Begur,residential,average,2257.2,7.89,19.7,2.68,4.06,1,24,0,1,0,0,2776.27,6266725.81,6002816.4
ITPL,commercial,excellent,4615.1,3.46,16.17,5.72,3.77,2,1,0,0,0,1,10319.22,47623897.87,40659682.03
Basaveshwara Nagar,residential,good,1944.2,5.94,8.05,0.33,4.97,4,13,0,0,0,0,5929.56,11528160.56,10535727.9
Peenya,industrial,average,1136.1,2.61,10.12,5.38,4.23,0,2,0,0,0,1,3908.22,4440294.55,4804951.54
Jayanagar,residential,excellent,2374.0,11.54,8.57,4.62,3.86,1,10,1,0,0,0,9603.39,22798079.72,22679002.12
Anekal,agricultural,poor,1699.6,5.52,35.47,5.52,1.0,0,3,0,0,1,0,1035.09,1759282.19,1815369.04
Carmelaram,residential,average,16744.4,8.04,20.04,4.23,3.79,1,18,1,0,0,0,3582.46,59986146.67,73714483.91
JP Nagar,residential,excellent,4017.6,11.2,12.14,0.38,4.9,4,3,0,0,0,0,8054.73,32360642.68,35551195.73
ITPL,commercial,excellent,2879.4,4.57,18.45,3.85,1.22,0,10,0,0,1,1,10981.87,31620929.13,41832561.48
Peenya,industrial,average,767.2,1.93,9.84,7.07,1.61,1,6,0,0,0,1,3251.49,2494511.15,2591534.68
Sadashivanagar,residential,excellent,1288.3,4.73,5.09,1.06,1.49,3,24,0,0,1,0,20217.97,26047279.8,34429280.89
Kanakapura Road,residential,good,14251.3,9.49,16.43,4.51,0.76,1,2,0,0,1,0,4631.4,66003679.22,83241193.13
Brookefield,residential,excellent,16585.3,5.57,14.71,3.1,2.2,0,15,0,0,0,0,8975.89,148867731.37,120618201.73
ITPL,commercial,excellent,1239.2,4.1,15.39,3.43,2.41,3,7,0,0,0,1,9537.91,11819571.83,10626313.28
Kalyan Nagar,residential,good,3217.1,5.96,8.52,7.13,3.95,1,6,0,0,0,0,6145.39,19770506.07,16318542.33
Hebbal,residential,excellent,827.9,4.98,11.75,1.48,2.91,0,23,1,0,0,1,8970.09,7426031.32,8279115.44
Lavelle Road,residential,excellent,16124.2,5.57,3.43,1.66,4.95,1,12,0,0,0,0,20233.33,326246712.89,254493320.36
Attibele,industrial,poor,1431.4,7.69,29.27,6.06,4.03,1,9,0,1,0,1,1427.76,2043705.65,1877220.96
Carmelaram,residential,average,4726.5,8.04,21.39,1.39,3.27,1,2,0,0,0,0,3791.68,17921330.28,19889400.84
Lavelle Road,residential,excellent,5603.8,4.16,3.7,1.58,3.49,1,12,0,0,0,0,23967.35,134308382.53,143555284.59
Nagarbhavi,residential,good,3466.4,9.78,13.31,3.06,3.77,2,16,0,0,0,0,4810.4,16674596.12,18979743.63
Varthur,residential,average,3794.3,8.76,19.38,1.18,0.73,2,9,1,0,1,0,2983.62,11320778.55,13776151.87
Anekal,agricultural,poor,855.2,4.77,33.43,1.21,1.59,2,21,0,0,0,0,973.72,832698.69,974952.49
